title,Release,directors,genres,stars,durationss,title,Release,directors,genres,stars,durationss
The Gentlemen,['2019'],Guy Ritchie,"Action, Comedy, Crime","Matthew McConaughey, Charlie Hunnam, Michelle Dockery, Jeremy Strong",113,The Card Counter,['2021'],Paul Schrader,"Action, Comedy, Crime","Oscar Isaac, Tiffany Haddish, Tye Sheridan, Willem Dafoe",111
Miss Willoughby and the Haunted Bookshop,['2021'],Brad Watson,"Adventure, Crime, Mystery","Nathalie Cox, Kelsey Grammer, Louise Bangay, Tara Fitzgerald",90,Katastrofikytät,['2010'],Adam McKay,"Adventure, Crime, Mystery","Will Ferrell, Mark Wahlberg, Derek Jeter, Eva Mendes",107
Zodiac,['2007'],David Fincher,"Crime, Drama, Mystery","Jake Gyllenhaal, Robert Downey Jr., Mark Ruffalo, Anthony Edwards",157,Koston nyrkki,['2022'],Roel Reiné,"Crime, Drama, Mystery","Iko Uwais, Lewis Tan, Lawrence Kao, Pearl Thusi",96
Nightride,['2021'],Stephen Fingleton,"Crime, Drama, Thriller","Moe Dunford, Joana Ribeiro, Gerard Jordan, Ciaran Flynn",97,The Little Things,['2021'],John Lee Hancock,"Crime, Drama, Thriller","Denzel Washington, Rami Malek, Jared Leto, Chris Bauer",128
Sans répit,['2022'],Régis Blondeau,"Action, Crime, Thriller","Franck Gastambide, Simon Abkarian, Michaël Abiteboul, Tracy Gotoas",95,Hurjapäät,['2001'],Rob Cohen,"Action, Crime, Thriller","Vin Diesel, Paul Walker, Michelle Rodriguez, Jordana Brewster",106
Hurja jengi,['2022'],Pierre Perifel,"Animation, Adventure, Comedy","Sam Rockwell, Awkwafina, Anthony Ramos, Marc Maron",,Knives Out 2,"['2', '2022']",Rian Johnson,"Animation, Adventure, Comedy","Daniel Craig, Jessica Henwick, Ethan Hawke, Kathryn Hahn",
Baby Driver,['2017'],Edgar Wright,"Action, Crime, Drama","Ansel Elgort, Jon Bernthal, Jon Hamm, Eiza González",113,Ota kiinni jos saat,['2002'],Steven Spielberg,"Action, Crime, Drama","Leonardo DiCaprio, Tom Hanks, Christopher Walken, Martin Sheen",141
Wrath of Man,['2021'],Guy Ritchie,"Action, Crime, Thriller","Jason Statham, Holt McCallany, Josh Hartnett, Rocci Williams",119,The Girl with the Dragon Tattoo,['2011'],David Fincher,"Action, Crime, Thriller","Daniel Craig, Rooney Mara, Christopher Plummer, Stellan Skarsgård",158
Batgirl,['2022'],Adil El Arbi,"Action, Adventure, Crime","Leslie Grace, J.K. Simmons, Michael Keaton, Brendan Fraser",,Army of the Dead,['2021'],Zack Snyder,"Action, Adventure, Crime","Dave Bautista, Ella Purnell, Ana de la Reguera, Omari Hardwick",148
The Many Saints of Newark,['2021'],Alan Taylor,"Crime, Drama","Alessandro Nivola, Leslie Odom Jr., Jon Bernthal, Vera Farmiga",120,Windfall,['2022'],Charlie McDowell,"Crime, Drama","Jason Segel, Lily Collins, Jesse Plemons, Omar Leyva",92
Menetetty maa,['2007'],Ethan Coen,"Crime, Drama, Thriller","Tommy Lee Jones, Javier Bardem, Josh Brolin, Woody Harrelson",122,Snatch - Hävyttömät,['2000'],Guy Ritchie,"Crime, Drama, Thriller","Jason Statham, Brad Pitt, Stephen Graham, Vinnie Jones",104
Cruella,['2021'],Craig Gillespie,"Adventure, Comedy, Crime","Emma Stone, Emma Thompson, Joel Fry, Paul Walter Hauser",134,The Irishman,['2019'],Martin Scorsese,"Adventure, Comedy, Crime","Robert De Niro, Al Pacino, Joe Pesci, Harvey Keitel",209
Hiomattomat timantit,['2019'],Benny Safdie,"Crime, Drama, Thriller","Adam Sandler, Julia Fox, Idina Menzel, Mesfin Lamengo",135,Clockwork Orange - Kellopeliappelsiini,['1971'],Stanley Kubrick,"Crime, Drama, Thriller","Malcolm McDowell, Patrick Magee, Michael Bates, Warren Clarke",136
Uhrilampaat,['1991'],Jonathan Demme,"Crime, Drama, Thriller","Jodie Foster, Anthony Hopkins, Lawrence A. Bonney, Kasi Lemmons",118,No Sudden Move,['2021'],Steven Soderbergh,"Crime, Drama, Thriller","Don Cheadle, Benicio Del Toro, David Harbour, Jon Hamm",115
Leon,['1994'],Luc Besson,"Action, Crime, Drama","Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello",110,Texasin moottorisahamurhat,['2003'],Marcus Nispel,"Action, Crime, Drama","Jessica Biel, Jonathan Tucker, Andrew Bryniarski, Erica Leerhsen",98
Kummisetä osa II,['1974'],Francis Ford Coppola,"Crime, Drama","Al Pacino, Robert De Niro, Robert Duvall, Diane Keaton",202,Hustlers - Korkojen kera,['2019'],Lorene Scafaria,"Crime, Drama","Constance Wu, Jennifer Lopez, Julia Stiles, Mette Narrative",110
