Title,Descriptions,Release,Directors,Rating,Durations,Votes,Genres,Stars
Kimi,An agoraphobic Seattle tech worker uncovers evidence of a crime.,2022,Steven Soderbergh,6.3,89,"18,091","Crime, Drama, Thriller","Zoë Kravitz, Byron Bowers, Rita Wilson, Erika Christensen"
Gangubai Kathiawadi,A woman becomes a powerful underworld figure.,2022,Sanjay Leela Bhansali,7.0,152,"36,230","Biography, Crime, Drama","Alia Bhatt, Shantanu Maheshwari, Vijay Raaz, Indira Tiwari"
Veitset esiin - kaikki ovat epäiltyjä,"A detective investigates the death of the patriarch of an eccentric, combative family.",2019,Rian Johnson,7.9,130,"580,142","Comedy, Crime, Drama","Daniel Craig, Chris Evans, Ana de Armas, Jamie Lee Curtis"
Nobody,"A docile family man slowly reveals his true character after his house gets burgled by two petty thieves, which, coincidentally, leads him into a bloody war with a Russian crime boss.",2021,Ilya Naishuller,7.4,92,"213,539","Action, Crime, Drama","Bob Odenkirk, Aleksey Serebryakov, Connie Nielsen, Christopher Lloyd"
Vihreä maili,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",1999,Frank Darabont,8.6,189,"1,245","Crime, Drama, Fantasy","Tom Hanks, Michael Clarke Duncan, David Morse, Bonnie Hunt"
Vangitut,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",2013,Denis Villeneuve,8.1,153,"670,142","Crime, Drama, Mystery","Hugh Jackman, Jake Gyllenhaal, Viola Davis, Melissa Leo"
Pulp Fiction: Tarinoita väkivallasta,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",1994,Quentin Tarantino,8.9,154,"1,967","Crime, Drama","John Travolta, Uma Thurman, Samuel L. Jackson, Bruce Willis"
The Wolf of Wall Street,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",2013,Martin Scorsese,8.2,180,"1,325","Biography, Comedy, Crime","Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey"
Killers of the Flower Moon,Members of the Osage tribe in the United States are murdered under mysterious circumstances in the 1920s sparking a major F.B.I. investigation involving J. Edgar Hoover.,2022,Martin Scorsese,,,,"Crime, Drama, History","Jesse Plemons, Leonardo DiCaprio, Brendan Fraser, Robert De Niro"
Amerikan psyko,"A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",2000,Mary Harron,7.6,102,"555,344","Crime, Drama, Horror","Christian Bale, Justin Theroux, Josh Lucas, Bill Sage"
